"","year","emissions"
"1","1950",4378.498714666
"2","1951",4447.580050173
"3","1952",4514.631057479
"4","1953",4585.338771385
"5","1954",4658.918555989
"6","1955",4738.573835594
"7","1956",4819.784587299
"8","1957",4906.311841004
"9","1958",5002.815188009
"10","1959",5106.721646316
"11","1960",5222.367036224
"12","1961",5570.292268934
"13","1962",5779.894617848
"14","1963",5976.276517865
"15","1964",6199.344235184
"16","1965",6465.560236103
"17","1966",6773.507547123
"18","1967",7041.513557943
"19","1968",7256.009223461
"20","1969",7435.615435577
"21","1970",7406.667102286
"22","1971",7327.060018164
"23","1972",7746.900966143
"24","1973",7935.570129016
"25","1974",7909.792366794
"26","1975",8180.647431373
"27","1976",8409.325612562
"28","1977",8640.444044551
"29","1978",8837.869319451
"30","1979",9123.75591774
"31","1980",9227.25850344
"32","1981",9121.12526974
"33","1982",9494.515702535
"34","1983",9530.292752735
"35","1984",9421.164119735
"36","1985",9421.444216635
"37","1986",9620.413269135
"38","1987",9977.11727844
"39","1988",9722.719931646
"40","1989",9842.472009051
"41","1990",9862.303868651
"42","1991",9968.816852048
"43","1992",9990.075746651
"44","1993",9915.093855454
"45","1994",10121.031398151
"46","1995",10218.833691848
"47","1996",10278.763319346
"48","1997",10590.220331843
"49","1998",10128.407161145
"50","1999",9868.586122143
"51","2000",9603.18708684
"52","2001",9722.24731213
"53","2002",9991.772281121
"54","2003",10099.786880807
"55","2004",10354.570880397
"56","2005",10516.570551088
"57","2006",10802.561733786
"58","2007",10363.481326285
"59","2008",10429.681447884
"60","2009",10546.741937483
"61","2010",10539.817000082
"62","2011",10446.428334966
"63","2012",10593.89772836
"64","2013",10759.046875754
"65","2014",10866.283520049
"66","2015",10900
"67","2016",10900
"68","2017",10900
"69","2018",10900
"70","2019",10900
"71","2020",11322.8528268346
"72","2021",11322.8528268346
"73","2022",11322.8528268346
"74","2023",11322.8528268346
"75","2024",11322.8528268346
"76","2025",11322.8528268346
"77","2026",11322.8528268346
"78","2027",11322.8528268346
"79","2028",11322.8528268346
"80","2029",11322.8528268346
"81","2030",12208.7512328918
"82","2031",12208.7512328918
"83","2032",12208.7512328918
"84","2033",12208.7512328918
"85","2034",12208.7512328918
"86","2035",12208.7512328918
"87","2036",12208.7512328918
"88","2037",12208.7512328918
"89","2038",12208.7512328918
"90","2039",12208.7512328918
"91","2040",12623.7673811866
"92","2041",12623.7673811866
"93","2042",12623.7673811866
"94","2043",12623.7673811866
"95","2044",12623.7673811866
"96","2045",12623.7673811866
"97","2046",12623.7673811866
"98","2047",12623.7673811866
"99","2048",12623.7673811866
"100","2049",12623.7673811866
"101","2050",12586.9391753868
"102","2051",12586.9391753868
"103","2052",12586.9391753868
"104","2053",12586.9391753868
"105","2054",12586.9391753868
"106","2055",12586.9391753868
"107","2056",12586.9391753868
"108","2057",12586.9391753868
"109","2058",12586.9391753868
"110","2059",12586.9391753868
"111","2060",12218.5690265798
"112","2061",12218.5690265798
"113","2062",12218.5690265798
"114","2063",12218.5690265798
"115","2064",12218.5690265798
"116","2065",12218.5690265798
"117","2066",12218.5690265798
"118","2067",12218.5690265798
"119","2068",12218.5690265798
"120","2069",12218.5690265798
"121","2070",11545.7193059936
"122","2071",11545.7193059936
"123","2072",11545.7193059936
"124","2073",11545.7193059936
"125","2074",11545.7193059936
"126","2075",11545.7193059936
"127","2076",11545.7193059936
"128","2077",11545.7193059936
"129","2078",11545.7193059936
"130","2079",11545.7193059936
"131","2080",10362.6363232992
"132","2081",10362.6363232992
"133","2082",10362.6363232992
"134","2083",10362.6363232992
"135","2084",10362.6363232992
"136","2085",10362.6363232992
"137","2086",10362.6363232992
"138","2087",10362.6363232992
"139","2088",10362.6363232992
"140","2089",10362.6363232992
"141","2090",9524.75981684137
"142","2091",9524.75981684137
"143","2092",9524.75981684137
"144","2093",9524.75981684137
"145","2094",9524.75981684137
"146","2095",9524.75981684137
"147","2096",9524.75981684137
"148","2097",9524.75981684137
"149","2098",9524.75981684137
"150","2099",9524.75981684137
"151","2100",8732.3344434787
"152","2101",8732.3344434787
"153","2102",8732.3344434787
"154","2103",8732.3344434787
"155","2104",8732.3344434787
"156","2105",8732.3344434787
"157","2106",8732.3344434787
"158","2107",8732.3344434787
"159","2108",8732.3344434787
"160","2109",8732.3344434787
"161","2110",8627.68571155167
"162","2111",8627.68571155167
"163","2112",8627.68571155167
"164","2113",8627.68571155167
"165","2114",8627.68571155167
"166","2115",8627.68571155167
"167","2116",8627.68571155167
"168","2117",8627.68571155167
"169","2118",8627.68571155167
"170","2119",8627.68571155167
"171","2120",8523.03697962464
"172","2121",8523.03697962464
"173","2122",8523.03697962464
"174","2123",8523.03697962464
"175","2124",8523.03697962464
"176","2125",8523.03697962464
"177","2126",8523.03697962464
"178","2127",8523.03697962464
"179","2128",8523.03697962464
"180","2129",8523.03697962464
"181","2130",8418.38824769761
"182","2131",8418.38824769761
"183","2132",8418.38824769761
"184","2133",8418.38824769761
"185","2134",8418.38824769761
"186","2135",8418.38824769761
"187","2136",8418.38824769761
"188","2137",8418.38824769761
"189","2138",8418.38824769761
"190","2139",8418.38824769761
"191","2140",8313.73951577058
"192","2141",8313.73951577058
"193","2142",8313.73951577058
"194","2143",8313.73951577058
"195","2144",8313.73951577058
"196","2145",8313.73951577058
"197","2146",8313.73951577058
"198","2147",8313.73951577058
"199","2148",8313.73951577058
"200","2149",8313.73951577058
"201","2150",8209.09078384355
"202","2151",8209.09078384355
"203","2152",8209.09078384355
"204","2153",8209.09078384355
"205","2154",8209.09078384355
"206","2155",8209.09078384355
"207","2156",8209.09078384355
"208","2157",8209.09078384355
"209","2158",8209.09078384355
"210","2159",8209.09078384355
"211","2160",8104.44205191652
