"","year","emissions"
"1","1950",4378.498714666
"2","1951",4447.580050173
"3","1952",4514.631057479
"4","1953",4585.338771385
"5","1954",4658.918555989
"6","1955",4738.573835594
"7","1956",4819.784587299
"8","1957",4906.311841004
"9","1958",5002.815188009
"10","1959",5106.721646316
"11","1960",5222.367036224
"12","1961",5570.292268934
"13","1962",5779.894617848
"14","1963",5976.276517865
"15","1964",6199.344235184
"16","1965",6465.560236103
"17","1966",6773.507547123
"18","1967",7041.513557943
"19","1968",7256.009223461
"20","1969",7435.615435577
"21","1970",7406.667102286
"22","1971",7327.060018164
"23","1972",7746.900966143
"24","1973",7935.570129016
"25","1974",7909.792366794
"26","1975",8180.647431373
"27","1976",8409.325612562
"28","1977",8640.444044551
"29","1978",8837.869319451
"30","1979",9123.75591774
"31","1980",9227.25850344
"32","1981",9121.12526974
"33","1982",9494.515702535
"34","1983",9530.292752735
"35","1984",9421.164119735
"36","1985",9421.444216635
"37","1986",9620.413269135
"38","1987",9977.11727844
"39","1988",9722.719931646
"40","1989",9842.472009051
"41","1990",9862.303868651
"42","1991",9968.816852048
"43","1992",9990.075746651
"44","1993",9915.093855454
"45","1994",10121.031398151
"46","1995",10218.833691848
"47","1996",10278.763319346
"48","1997",10590.220331843
"49","1998",10128.407161145
"50","1999",9868.586122143
"51","2000",9603.18708684
"52","2001",9722.24731213
"53","2002",9991.772281121
"54","2003",10099.786880807
"55","2004",10354.570880397
"56","2005",10516.570551088
"57","2006",10802.561733786
"58","2007",10363.481326285
"59","2008",10429.681447884
"60","2009",10546.741937483
"61","2010",10539.817000082
"62","2011",10446.428334966
"63","2012",10593.89772836
"64","2013",10759.046875754
"65","2014",10866.283520049
"66","2015",10900
"67","2016",10900
"68","2017",10900
"69","2018",10900
"70","2019",10900
"71","2020",10284.4653069932
"72","2021",10284.4653069932
"73","2022",10284.4653069932
"74","2023",10284.4653069932
"75","2024",10284.4653069932
"76","2025",10284.4653069932
"77","2026",10284.4653069932
"78","2027",10284.4653069932
"79","2028",10284.4653069932
"80","2029",10284.4653069932
"81","2030",8911.22212070995
"82","2031",8911.22212070995
"83","2032",8911.22212070995
"84","2033",8911.22212070995
"85","2034",8911.22212070995
"86","2035",8911.22212070995
"87","2036",8911.22212070995
"88","2037",8911.22212070995
"89","2038",8911.22212070995
"90","2039",8911.22212070995
"91","2040",8215.96605947126
"92","2041",8215.96605947126
"93","2042",8215.96605947126
"94","2043",8215.96605947126
"95","2044",8215.96605947126
"96","2045",8215.96605947126
"97","2046",8215.96605947126
"98","2047",8215.96605947126
"99","2048",8215.96605947126
"100","2049",8215.96605947126
"101","2050",7941.2286244972
"102","2051",7941.2286244972
"103","2052",7941.2286244972
"104","2053",7941.2286244972
"105","2054",7941.2286244972
"106","2055",7941.2286244972
"107","2056",7941.2286244972
"108","2057",7941.2286244972
"109","2058",7941.2286244972
"110","2059",7941.2286244972
"111","2060",7824.67318107389
"112","2061",7824.67318107389
"113","2062",7824.67318107389
"114","2063",7824.67318107389
"115","2064",7824.67318107389
"116","2065",7824.67318107389
"117","2066",7824.67318107389
"118","2067",7824.67318107389
"119","2068",7824.67318107389
"120","2069",7824.67318107389
"121","2070",7824.80080076439
"122","2071",7824.80080076439
"123","2072",7824.80080076439
"124","2073",7824.80080076439
"125","2074",7824.80080076439
"126","2075",7824.80080076439
"127","2076",7824.80080076439
"128","2077",7824.80080076439
"129","2078",7824.80080076439
"130","2079",7824.80080076439
"131","2080",8025.50132314605
"132","2081",8025.50132314605
"133","2082",8025.50132314605
"134","2083",8025.50132314605
"135","2084",8025.50132314605
"136","2085",8025.50132314605
"137","2086",8025.50132314605
"138","2087",8025.50132314605
"139","2088",8025.50132314605
"140","2089",8025.50132314605
"141","2090",8544.29373371885
"142","2091",8544.29373371885
"143","2092",8544.29373371885
"144","2093",8544.29373371885
"145","2094",8544.29373371885
"146","2095",8544.29373371885
"147","2096",8544.29373371885
"148","2097",8544.29373371885
"149","2098",8544.29373371885
"150","2099",8544.29373371885
"151","2100",8357.01750609135
"152","2101",8357.01750609135
"153","2102",8357.01750609135
"154","2103",8357.01750609135
"155","2104",8357.01750609135
"156","2105",8357.01750609135
"157","2106",8357.01750609135
"158","2107",8357.01750609135
"159","2108",8357.01750609135
"160","2109",8357.01750609135
"161","2110",8256.86659107944
"162","2111",8256.86659107944
"163","2112",8256.86659107944
"164","2113",8256.86659107944
"165","2114",8256.86659107944
"166","2115",8256.86659107944
"167","2116",8256.86659107944
"168","2117",8256.86659107944
"169","2118",8256.86659107944
"170","2119",8256.86659107944
"171","2120",8156.71567606752
"172","2121",8156.71567606752
"173","2122",8156.71567606752
"174","2123",8156.71567606752
"175","2124",8156.71567606752
"176","2125",8156.71567606752
"177","2126",8156.71567606752
"178","2127",8156.71567606752
"179","2128",8156.71567606752
"180","2129",8156.71567606752
"181","2130",8056.5647610556
"182","2131",8056.5647610556
"183","2132",8056.5647610556
"184","2133",8056.5647610556
"185","2134",8056.5647610556
"186","2135",8056.5647610556
"187","2136",8056.5647610556
"188","2137",8056.5647610556
"189","2138",8056.5647610556
"190","2139",8056.5647610556
"191","2140",7956.41384604369
"192","2141",7956.41384604369
"193","2142",7956.41384604369
"194","2143",7956.41384604369
"195","2144",7956.41384604369
"196","2145",7956.41384604369
"197","2146",7956.41384604369
"198","2147",7956.41384604369
"199","2148",7956.41384604369
"200","2149",7956.41384604369
"201","2150",7856.26293103177
"202","2151",7856.26293103177
"203","2152",7856.26293103177
"204","2153",7856.26293103177
"205","2154",7856.26293103177
"206","2155",7856.26293103177
"207","2156",7856.26293103177
"208","2157",7856.26293103177
"209","2158",7856.26293103177
"210","2159",7856.26293103177
"211","2160",7756.11201601986
