"year","ANZ","CAM","CAN","CHI","EEU","FSU","JPK","LAM","MAF","MDE","SAS","SEA","SIS","SSA","USA","WEU"
1990,1.212,-0.195,0.209,9.406,-0.902,-10.349,1.378,2.464,-0.069,1.534,3.052,5.567,0.87,-1.44,1.079,1.076
1991,1.212,-0.195,0.209,9.406,-0.902,-10.349,1.378,2.464,-0.069,1.534,3.052,5.567,0.87,-1.44,1.079,1.076
1992,1.212,-0.195,0.209,9.406,-0.902,-10.349,1.378,2.464,-0.069,1.534,3.052,5.567,0.87,-1.44,1.079,1.076
1993,1.212,-0.195,0.209,9.406,-0.902,-10.349,1.378,2.464,-0.069,1.534,3.052,5.567,0.87,-1.44,1.079,1.076
1994,1.212,-0.195,0.209,9.406,-0.902,-10.349,1.378,2.464,-0.069,1.534,3.052,5.567,0.87,-1.44,1.079,1.076
1995,1.648,3.076,0.218,7.798,3.88,-3.47,3.814,1.651,4.516,1.839,4.854,5.408,3.473,1.917,2.734,1.559
1996,1.427,4.767,4.42,7.216,3.235,1.246,0.873,3.327,0.681,2.139,2.744,2.825,2.69,0.52,6.055,2.351
1997,2.871,4.921,3.358,7.253,3.241,0.432,1.823,3.611,1.995,3.543,2.749,3.743,5.402,0.256,3.595,2.466
1998,3.617,3.051,2.298,4.783,2.515,-4.268,-1.915,-0.568,3.453,1.298,3.627,-4.166,3.532,-1.552,3.535,2.641
1999,3.525,1.981,3.528,5.684,2.508,2.683,1.303,-3.042,3.11,-2.684,4.744,2.699,2.462,-0.425,3.395,2.348
2000,2.678,0.799,3.668,7.491,3.709,7.6,1.944,1.544,2.011,3.349,4.055,4.499,5.542,0.505,4.155,3.176
2001,2.081,0.969,1.852,3.817,2.065,2.065,1.998,0.969,0.969,0.024,3.084,3.817,0.969,0.969,1.682,1.852
2002,2.061,1.139,1.856,3.701,2.243,2.243,2.053,1.139,1.139,0.299,3.019,3.701,1.139,1.139,1.698,1.856
2003,2.041,1.309,1.861,3.584,2.422,2.422,2.041,1.309,1.309,0.574,2.954,3.584,1.309,1.309,1.715,1.861
2004,2.021,1.479,1.866,3.468,2.6,2.6,2.021,1.479,1.479,0.849,2.889,3.468,1.479,1.479,1.731,1.866
2005,2.002,1.649,1.871,3.351,2.779,2.779,2.002,1.649,1.649,1.124,2.824,3.351,1.649,1.649,1.748,1.871
2006,1.982,1.818,1.875,3.234,2.958,2.958,1.982,1.818,1.818,1.398,2.758,3.234,1.818,1.818,1.764,1.875
2007,1.962,1.988,1.88,3.118,3.136,3.136,1.962,1.988,1.988,1.673,2.693,3.118,1.988,1.988,1.781,1.88
2008,1.942,2.158,1.885,3.001,3.315,3.315,1.942,2.158,2.158,1.948,2.628,3.001,2.158,2.158,1.797,1.885
2009,1.922,2.328,1.889,2.885,3.493,3.493,1.922,2.328,2.328,2.223,2.563,2.885,2.328,2.328,1.814,1.889
2010,1.902,2.498,1.83,2.768,3.672,3.672,1.902,2.498,2.498,2.498,2.498,2.498,2.498,2.498,1.83,1.894
2011,1.881,2.493,1.816,2.779,3.649,3.649,1.881,2.493,2.493,2.493,2.493,2.493,2.493,2.493,1.816,1.874
2012,1.86,2.488,1.802,2.79,3.626,3.626,1.86,2.488,2.488,2.488,2.488,2.488,2.488,2.488,1.802,1.855
2013,1.84,2.482,1.788,2.8,3.604,3.604,1.84,2.482,2.482,2.482,2.482,2.482,2.482,2.482,1.788,1.835
2014,1.819,2.477,1.774,2.811,3.581,3.581,1.819,2.477,2.477,2.477,2.477,2.477,2.477,2.477,1.774,1.816
2015,1.73264829985864,2.35479162458319,1.33416876407655,8.24655615448588,2.44960699080969,4.15015796035709,1.80611403813637,2.96325218530209,2.15554326053644,2.67569511019918,4.78584552310746,3.96266060577,2.64697112536869,2.78440186804307,1.6252259729612,0.954633650860859
2016,1.75627239300754,2.38176413795455,1.35460331315329,8.2280158159479,2.62467295619482,4.16533258978725,1.83722714264845,3.03639768784951,2.56588552856383,2.72875909655493,4.94234389699338,4.11309117727672,2.69067022934968,3.02041331670519,1.74921584634358,1.04456664027174
2017,1.77989648615644,2.4087366513259,1.37503786223003,8.20947547740991,2.79973892157995,4.18050721921741,1.86834024716052,3.10954319039693,2.97622779659122,2.78182308291067,5.0988422708793,4.26352174878344,2.73436933333067,3.2564247653673,1.87320571972596,1.13449962968261
2018,1.80352057930533,2.43570916469726,1.39547241130678,8.19093513887193,2.97480488696508,4.19568184864756,1.8994533516726,3.18268869294434,3.38657006461861,2.83488706926641,5.25534064476522,4.41395232029016,2.77806843731165,3.49243621402941,1.99719559310834,1.22443261909349
2019,1.82714467245423,2.46268167806862,1.41590696038352,8.17239480033394,3.14987085235021,4.21085647807772,1.93056645618467,3.25583419549176,3.796912332646,2.88795105562216,5.41183901865114,4.56438289179688,2.82176754129264,3.72844766269152,2.12118546649072,1.31436560850437
2020,1.85076876560313,2.48965419143998,1.43634150946026,8.15385446179595,3.32493681773534,4.22603110750788,1.96167956069675,3.32897969803918,4.20725460067339,2.9410150419779,5.56833739253706,4.7148134633036,2.86546664527363,3.96445911135364,2.2451753398731,1.40429859791524
2021,1.83683017950391,2.64507578048037,1.39389031850502,8.09960675943633,3.37190305016119,4.37876374135917,2.06052482934637,3.40904774837381,4.37181224052362,3.02881932659606,5.74209879532956,4.82391796090627,3.00100517597047,4.18812524590607,2.20346612964429,1.43460599101629
2022,1.8228915934047,2.80049736952077,1.35143912754978,8.0453590570767,3.41886928258705,4.53149637521046,2.159370097996,3.48911579870844,4.53636988037384,3.11662361121422,5.91586019812207,4.93302245850893,3.1365437066673,4.4117913804585,2.16175691941548,1.46491338411734
2023,1.80895300730548,2.95591895856116,1.30898793659453,7.99111135471707,3.4658355150129,4.68422900906176,2.25821536664562,3.56918384904307,4.70092752022407,3.20442789583238,6.08962160091457,5.04212695611159,3.27208223736414,4.63545751501094,2.12004770918667,1.49522077721839
2024,1.79501442120626,3.11134054760155,1.26653674563929,7.93686365235744,3.51280174743876,4.83696164291305,2.35706063529524,3.6492518993777,4.86548516007429,3.29223218045054,6.26338300370708,5.15123145371426,3.40762076806098,4.85912364956337,2.07833849895786,1.52552817031944
2025,1.78107583510705,3.26676213664194,1.22408555468405,7.88261594999782,3.55976797986461,4.98969427676434,2.45590590394487,3.72931994971233,5.03004279992452,3.3800364650687,6.43714440649958,5.26033595131692,3.54315929875781,5.0827897841158,2.03662928872905,1.55583556342049
2026,1.83738400433648,3.42473675612481,1.3186432311787,7.71645427010621,3.58359508714995,5.04305944254722,2.49573704394691,3.83000057774275,5.13240806622807,3.48374335864803,6.53445931398359,5.339105948542,3.66231150750345,5.31299745743121,2.02766036473297,1.62160351953772
2027,1.89369217356591,3.58271137560767,1.41320090767334,7.55029259021461,3.60742219443528,5.09642460833009,2.53556818394895,3.93068120577317,5.23477333253163,3.58745025222735,6.6317742214676,5.41787594576709,3.78146371624909,5.54320513074662,2.01869144073688,1.68737147565494
