"year","ANZ","CAM","CAN","CHI","EEU","FSU","JPK","LAM","MAF","MDE","SAS","SEA","SIS","SSA","USA","WEU"
1997,1.017,1.859,1.012,0.938,0.031,-0.019,0.366,1.536,1.959,2.244,1.817,1.543,1.378,2.52,0.835,0.193
1998,1.017,1.859,1.012,0.938,0.031,-0.019,0.366,1.536,1.959,2.244,1.817,1.543,1.378,2.52,0.835,0.193
1999,1.017,1.859,1.012,0.938,0.031,-0.019,0.366,1.536,1.959,2.244,1.817,1.543,1.378,2.52,0.835,0.193
2000,1.016,1.781,0.943,0.921,0.038,-0.008,0.423,1.487,1.986,2.222,1.765,1.517,1.344,2.496,0.782,0.184
2001,1.014,1.703,0.873,0.904,0.044,0.003,0.481,1.439,2.012,2.2,1.714,1.49,1.31,2.471,0.729,0.176
2002,1.012,1.625,0.804,0.886,0.05,0.013,0.539,1.39,2.039,2.177,1.662,1.463,1.275,2.446,0.676,0.167
2003,1.011,1.547,0.735,0.869,0.056,0.024,0.596,1.341,2.065,2.155,1.611,1.437,1.241,2.422,0.622,0.159
2004,1.009,1.469,0.666,0.852,0.063,0.035,0.654,1.292,2.091,2.133,1.559,1.41,1.206,2.397,0.569,0.151
2005,1.008,1.391,0.596,0.835,0.069,0.046,0.712,1.244,2.118,2.111,1.508,1.383,1.172,2.373,0.516,0.142
2006,1.006,1.313,0.527,0.818,0.075,0.057,0.769,1.195,2.144,2.089,1.456,1.357,1.138,2.348,0.463,0.134
2007,1.005,1.234,0.458,0.801,0.081,0.068,0.827,1.146,2.171,2.067,1.405,1.33,1.103,2.324,0.41,0.125
2008,1.003,1.156,0.389,0.784,0.088,0.078,0.885,1.097,2.197,2.044,1.353,1.303,1.069,2.299,0.356,0.117
2009,1.002,1.078,0.319,0.767,0.094,0.089,0.942,1.049,2.224,2.022,1.302,1.277,1.034,2.275,0.303,0.108
2010,1,1,0.25,0.75,0.1,0.1,1,1,2.25,2,1.25,1.25,1,2.25,0.25,0.1
2011,0.95,0.975,0.23,0.725,0.095,0.095,0.95,0.975,2.2,1.95,1.225,1.225,0.975,2.2,0.23,0.095
2012,0.9,0.95,0.21,0.7,0.09,0.09,0.9,0.95,2.15,1.9,1.2,1.2,0.95,2.15,0.21,0.09
2013,0.85,0.925,0.19,0.675,0.085,0.085,0.85,0.925,2.1,1.85,1.175,1.175,0.925,2.1,0.19,0.085
2014,0.8,0.9,0.17,0.65,0.08,0.08,0.8,0.9,2.05,1.8,1.15,1.15,0.9,2.05,0.17,0.08
