"","year","emissions"
"1","1950",4378.498714666
"2","1951",4447.580050173
"3","1952",4514.631057479
"4","1953",4585.338771385
"5","1954",4658.918555989
"6","1955",4738.573835594
"7","1956",4819.784587299
"8","1957",4906.311841004
"9","1958",5002.815188009
"10","1959",5106.721646316
"11","1960",5222.367036224
"12","1961",5570.292268934
"13","1962",5779.894617848
"14","1963",5976.276517865
"15","1964",6199.344235184
"16","1965",6465.560236103
"17","1966",6773.507547123
"18","1967",7041.513557943
"19","1968",7256.009223461
"20","1969",7435.615435577
"21","1970",7406.667102286
"22","1971",7327.060018164
"23","1972",7746.900966143
"24","1973",7935.570129016
"25","1974",7909.792366794
"26","1975",8180.647431373
"27","1976",8409.325612562
"28","1977",8640.444044551
"29","1978",8837.869319451
"30","1979",9123.75591774
"31","1980",9227.25850344
"32","1981",9121.12526974
"33","1982",9494.515702535
"34","1983",9530.292752735
"35","1984",9421.164119735
"36","1985",9421.444216635
"37","1986",9620.413269135
"38","1987",9977.11727844
"39","1988",9722.719931646
"40","1989",9842.472009051
"41","1990",9862.303868651
"42","1991",9968.816852048
"43","1992",9990.075746651
"44","1993",9915.093855454
"45","1994",10121.031398151
"46","1995",10218.833691848
"47","1996",10278.763319346
"48","1997",10590.220331843
"49","1998",10128.407161145
"50","1999",9868.586122143
"51","2000",9603.18708684
"52","2001",9722.24731213
"53","2002",9991.772281121
"54","2003",10099.786880807
"55","2004",10354.570880397
"56","2005",10516.570551088
"57","2006",10802.561733786
"58","2007",10363.481326285
"59","2008",10429.681447884
"60","2009",10546.741937483
"61","2010",10539.817000082
"62","2011",10446.428334966
"63","2012",10593.89772836
"64","2013",10759.046875754
"65","2014",10866.283520049
"66","2015",10900
"67","2016",10900
"68","2017",10900
"69","2018",10900
"70","2019",10900
"71","2020",11774.9299153649
"72","2021",11774.9299153649
"73","2022",11774.9299153649
"74","2023",11774.9299153649
"75","2024",11774.9299153649
"76","2025",11774.9299153649
"77","2026",11774.9299153649
"78","2027",11774.9299153649
"79","2028",11774.9299153649
"80","2029",11774.9299153649
"81","2030",13291.8051769423
"82","2031",13291.8051769423
"83","2032",13291.8051769423
"84","2033",13291.8051769423
"85","2034",13291.8051769423
"86","2035",13291.8051769423
"87","2036",13291.8051769423
"88","2037",13291.8051769423
"89","2038",13291.8051769423
"90","2039",13291.8051769423
"91","2040",14526.6102988607
"92","2041",14526.6102988607
"93","2042",14526.6102988607
"94","2043",14526.6102988607
"95","2044",14526.6102988607
"96","2045",14526.6102988607
"97","2046",14526.6102988607
"98","2047",14526.6102988607
"99","2048",14526.6102988607
"100","2049",14526.6102988607
"101","2050",15634.9116638215
"102","2051",15634.9116638215
"103","2052",15634.9116638215
"104","2053",15634.9116638215
"105","2054",15634.9116638215
"106","2055",15634.9116638215
"107","2056",15634.9116638215
"108","2057",15634.9116638215
"109","2058",15634.9116638215
"110","2059",15634.9116638215
"111","2060",16637.9554544021
"112","2061",16637.9554544021
"113","2062",16637.9554544021
"114","2063",16637.9554544021
"115","2064",16637.9554544021
"116","2065",16637.9554544021
"117","2066",16637.9554544021
"118","2067",16637.9554544021
"119","2068",16637.9554544021
"120","2069",16637.9554544021
"121","2070",17624.3012933096
"122","2071",17624.3012933096
"123","2072",17624.3012933096
"124","2073",17624.3012933096
"125","2074",17624.3012933096
"126","2075",17624.3012933096
"127","2076",17624.3012933096
"128","2077",17624.3012933096
"129","2078",17624.3012933096
"130","2079",17624.3012933096
"131","2080",18581.107
"132","2081",18581.107
"133","2082",18581.107
"134","2083",18581.107
"135","2084",18581.107
"136","2085",18581.107
"137","2086",18581.107
"138","2087",18581.107
"139","2088",18581.107
"140","2089",18581.107
"141","2090",19626.7587
"142","2091",19626.7587
"143","2092",19626.7587
"144","2093",19626.7587
"145","2094",19626.7587
"146","2095",19626.7587
"147","2096",19626.7587
"148","2097",19626.7587
"149","2098",19626.7587
"150","2099",19626.7587
"151","2100",20654.0842
"152","2101",20654.0842
"153","2102",20654.0842
"154","2103",20654.0842
"155","2104",20654.0842
"156","2105",20654.0842
"157","2106",20654.0842
"158","2107",20654.0842
"159","2108",20654.0842
"160","2109",20654.0842
"161","2110",20406.5646238049
"162","2111",20406.5646238049
"163","2112",20406.5646238049
"164","2113",20406.5646238049
"165","2114",20406.5646238049
"166","2115",20406.5646238049
"167","2116",20406.5646238049
"168","2117",20406.5646238049
"169","2118",20406.5646238049
"170","2119",20406.5646238049
"171","2120",20159.0450476097
"172","2121",20159.0450476097
"173","2122",20159.0450476097
"174","2123",20159.0450476097
"175","2124",20159.0450476097
"176","2125",20159.0450476097
"177","2126",20159.0450476097
"178","2127",20159.0450476097
"179","2128",20159.0450476097
"180","2129",20159.0450476097
"181","2130",19911.5254714146
"182","2131",19911.5254714146
"183","2132",19911.5254714146
"184","2133",19911.5254714146
"185","2134",19911.5254714146
"186","2135",19911.5254714146
"187","2136",19911.5254714146
"188","2137",19911.5254714146
"189","2138",19911.5254714146
"190","2139",19911.5254714146
"191","2140",19664.0058952194
"192","2141",19664.0058952194
"193","2142",19664.0058952194
"194","2143",19664.0058952194
"195","2144",19664.0058952194
"196","2145",19664.0058952194
"197","2146",19664.0058952194
"198","2147",19664.0058952194
"199","2148",19664.0058952194
"200","2149",19664.0058952194
"201","2150",19416.4863190243
"202","2151",19416.4863190243
"203","2152",19416.4863190243
"204","2153",19416.4863190243
"205","2154",19416.4863190243
"206","2155",19416.4863190243
"207","2156",19416.4863190243
"208","2157",19416.4863190243
"209","2158",19416.4863190243
"210","2159",19416.4863190243
"211","2160",19168.9667428291
"212","2161",19168.9667428291
"213","2162",19168.9667428291
"214","2163",19168.9667428291
"215","2164",19168.9667428291
"216","2165",19168.9667428291
