"","year","emissions"
"1","1950",4378.498714666
"2","1951",4447.580050173
"3","1952",4514.631057479
"4","1953",4585.338771385
"5","1954",4658.918555989
"6","1955",4738.573835594
"7","1956",4819.784587299
"8","1957",4906.311841004
"9","1958",5002.815188009
"10","1959",5106.721646316
"11","1960",5222.367036224
"12","1961",5570.292268934
"13","1962",5779.894617848
"14","1963",5976.276517865
"15","1964",6199.344235184
"16","1965",6465.560236103
"17","1966",6773.507547123
"18","1967",7041.513557943
"19","1968",7256.009223461
"20","1969",7435.615435577
"21","1970",7406.667102286
"22","1971",7327.060018164
"23","1972",7746.900966143
"24","1973",7935.570129016
"25","1974",7909.792366794
"26","1975",8180.647431373
"27","1976",8409.325612562
"28","1977",8640.444044551
"29","1978",8837.869319451
"30","1979",9123.75591774
"31","1980",9227.25850344
"32","1981",9121.12526974
"33","1982",9494.515702535
"34","1983",9530.292752735
"35","1984",9421.164119735
"36","1985",9421.444216635
"37","1986",9620.413269135
"38","1987",9977.11727844
"39","1988",9722.719931646
"40","1989",9842.472009051
"41","1990",9862.303868651
"42","1991",9968.816852048
"43","1992",9990.075746651
"44","1993",9915.093855454
"45","1994",10121.031398151
"46","1995",10218.833691848
"47","1996",10278.763319346
"48","1997",10590.220331843
"49","1998",10128.407161145
"50","1999",9868.586122143
"51","2000",9603.18708684
"52","2001",9722.24731213
"53","2002",9991.772281121
"54","2003",10099.786880807
"55","2004",10354.570880397
"56","2005",10516.570551088
"57","2006",10802.561733786
"58","2007",10363.481326285
"59","2008",10429.681447884
"60","2009",10546.741937483
"61","2010",10539.817000082
"62","2011",10446.428334966
"63","2012",10593.89772836
"64","2013",10759.046875754
"65","2014",10866.283520049
"66","2015",10900
"67","2016",10900
"68","2017",10900
"69","2018",10900
"70","2019",10900
"71","2020",11732.6718285475
"72","2021",11732.6718285475
"73","2022",11732.6718285475
"74","2023",11732.6718285475
"75","2024",11732.6718285475
"76","2025",11732.6718285475
"77","2026",11732.6718285475
"78","2027",11732.6718285475
"79","2028",11732.6718285475
"80","2029",11732.6718285475
"81","2030",12646.7650935487
"82","2031",12646.7650935487
"83","2032",12646.7650935487
"84","2033",12646.7650935487
"85","2034",12646.7650935487
"86","2035",12646.7650935487
"87","2036",12646.7650935487
"88","2037",12646.7650935487
"89","2038",12646.7650935487
"90","2039",12646.7650935487
"91","2040",13379.85962854
"92","2041",13379.85962854
"93","2042",13379.85962854
"94","2043",13379.85962854
"95","2044",13379.85962854
"96","2045",13379.85962854
"97","2046",13379.85962854
"98","2047",13379.85962854
"99","2048",13379.85962854
"100","2049",13379.85962854
"101","2050",13171.2714869242
"102","2051",13171.2714869242
"103","2052",13171.2714869242
"104","2053",13171.2714869242
"105","2054",13171.2714869242
"106","2055",13171.2714869242
"107","2056",13171.2714869242
"108","2057",13171.2714869242
"109","2058",13171.2714869242
"110","2059",13171.2714869242
"111","2060",13436.4860206943
"112","2061",13436.4860206943
"113","2062",13436.4860206943
"114","2063",13436.4860206943
"115","2064",13436.4860206943
"116","2065",13436.4860206943
"117","2066",13436.4860206943
"118","2067",13436.4860206943
"119","2068",13436.4860206943
"120","2069",13436.4860206943
"121","2070",13434.1378816515
"122","2071",13434.1378816515
"123","2072",13434.1378816515
"124","2073",13434.1378816515
"125","2074",13434.1378816515
"126","2075",13434.1378816515
"127","2076",13434.1378816515
"128","2077",13434.1378816515
"129","2078",13434.1378816515
"130","2079",13434.1378816515
"131","2080",13488.3164
"132","2081",13488.3164
"133","2082",13488.3164
"134","2083",13488.3164
"135","2084",13488.3164
"136","2085",13488.3164
"137","2086",13488.3164
"138","2087",13488.3164
"139","2088",13488.3164
"140","2089",13488.3164
"141","2090",13223.9784
"142","2091",13223.9784
"143","2092",13223.9784
"144","2093",13223.9784
"145","2094",13223.9784
"146","2095",13223.9784
"147","2096",13223.9784
"148","2097",13223.9784
"149","2098",13223.9784
"150","2099",13223.9784
"151","2100",12725.0119
"152","2101",12725.0119
"153","2102",12725.0119
"154","2103",12725.0119
"155","2104",12725.0119
"156","2105",12725.0119
"157","2106",12725.0119
"158","2107",12725.0119
"159","2108",12725.0119
"160","2109",12725.0119
"161","2110",12572.5147221021
"162","2111",12572.5147221021
"163","2112",12572.5147221021
"164","2113",12572.5147221021
"165","2114",12572.5147221021
"166","2115",12572.5147221021
"167","2116",12572.5147221021
"168","2117",12572.5147221021
"169","2118",12572.5147221021
"170","2119",12572.5147221021
"171","2120",12420.0175442041
"172","2121",12420.0175442041
"173","2122",12420.0175442041
"174","2123",12420.0175442041
"175","2124",12420.0175442041
"176","2125",12420.0175442041
"177","2126",12420.0175442041
"178","2127",12420.0175442041
"179","2128",12420.0175442041
"180","2129",12420.0175442041
"181","2130",12267.5203663062
"182","2131",12267.5203663062
"183","2132",12267.5203663062
"184","2133",12267.5203663062
"185","2134",12267.5203663062
"186","2135",12267.5203663062
"187","2136",12267.5203663062
"188","2137",12267.5203663062
"189","2138",12267.5203663062
"190","2139",12267.5203663062
"191","2140",12115.0231884083
"192","2141",12115.0231884083
"193","2142",12115.0231884083
"194","2143",12115.0231884083
"195","2144",12115.0231884083
"196","2145",12115.0231884083
"197","2146",12115.0231884083
"198","2147",12115.0231884083
"199","2148",12115.0231884083
"200","2149",12115.0231884083
"201","2150",11962.5260105104
"202","2151",11962.5260105104
"203","2152",11962.5260105104
"204","2153",11962.5260105104
"205","2154",11962.5260105104
"206","2155",11962.5260105104
"207","2156",11962.5260105104
"208","2157",11962.5260105104
"209","2158",11962.5260105104
"210","2159",11962.5260105104
"211","2160",11810.0288326124
"212","2161",11810.0288326124
"213","2162",11810.0288326124
"214","2163",11810.0288326124
"215","2164",11810.0288326124
"216","2165",11810.0288326124
