"","year","emissions"
"217","2166",19219.4155192474
"218","2167",19219.4155192474
"219","2168",19219.4155192474
"220","2169",19219.4155192474
"221","2170",18971.2445224553
"222","2171",18971.2445224553
"223","2172",18971.2445224553
"224","2173",18971.2445224553
"225","2174",18971.2445224553
"226","2175",18971.2445224553
"227","2176",18971.2445224553
"228","2177",18971.2445224553
"229","2178",18971.2445224553
"230","2179",18971.2445224553
"231","2180",18723.0735256632
"232","2181",18723.0735256632
"233","2182",18723.0735256632
"234","2183",18723.0735256632
"235","2184",18723.0735256632
"236","2185",18723.0735256632
"237","2186",18723.0735256632
"238","2187",18723.0735256632
"239","2188",18723.0735256632
"240","2189",18723.0735256632
"241","2190",18474.9025288711
"242","2191",18474.9025288711
"243","2192",18474.9025288711
"244","2193",18474.9025288711
"245","2194",18474.9025288711
"246","2195",18474.9025288711
"247","2196",18474.9025288711
"248","2197",18474.9025288711
"249","2198",18474.9025288711
"250","2199",18474.9025288711
"251","2200",18226.731532079
"252","2201",18226.731532079
"253","2202",18226.731532079
"254","2203",18226.731532079
"255","2204",18226.731532079
"256","2205",18226.731532079
"257","2206",18226.731532079
"258","2207",18226.731532079
"259","2208",18226.731532079
"260","2209",18226.731532079
"261","2210",17978.5605352869
"262","2211",17978.5605352869
"263","2212",17978.5605352869
"264","2213",17978.5605352869
"265","2214",17978.5605352869
"266","2215",17978.5605352869
"267","2216",17978.5605352869
"268","2217",17978.5605352869
"269","2218",17978.5605352869
"270","2219",17978.5605352869
"271","2220",17730.3895384948
"272","2221",17730.3895384948
"273","2222",17730.3895384948
"274","2223",17730.3895384948
"275","2224",17730.3895384948
"276","2225",17730.3895384948
"277","2226",17730.3895384948
"278","2227",17730.3895384948
"279","2228",17730.3895384948
"280","2229",17730.3895384948
"281","2230",17482.2185417027
"282","2231",17482.2185417027
"283","2232",17482.2185417027
"284","2233",17482.2185417027
"285","2234",17482.2185417027
"286","2235",17482.2185417027
"287","2236",17482.2185417027
"288","2237",17482.2185417027
"289","2238",17482.2185417027
"290","2239",17482.2185417027
"291","2240",17234.0475449106
"292","2241",17234.0475449106
"293","2242",17234.0475449106
"294","2243",17234.0475449106
"295","2244",17234.0475449106
"296","2245",17234.0475449106
"297","2246",17234.0475449106
"298","2247",17234.0475449106
"299","2248",17234.0475449106
"300","2249",17234.0475449106
"301","2250",16985.8765481185
"302","2251",16985.8765481185
"303","2252",16985.8765481185
"304","2253",16985.8765481185
"305","2254",16985.8765481185
"306","2255",16985.8765481185
"307","2256",16985.8765481185
"308","2257",16985.8765481185
"309","2258",16985.8765481185
"310","2259",16985.8765481185
"311","2260",16985.8765481185
"312","2261",16985.8765481185
"313","2262",16985.8765481185
"314","2263",16985.8765481185
"315","2264",16985.8765481185
"316","2265",16985.8765481185
"317","2266",16985.8765481185
"318","2267",16985.8765481185
"319","2268",16985.8765481185
"320","2269",16985.8765481185
"321","2270",16985.8765481185
"322","2271",16985.8765481185
"323","2272",16985.8765481185
