"","USA","CAN","WEU","JPK","ANZ","EEU","FSU","MDE","CAM","LAM","SAS","SEA","CHI","MAF","SSA","SIS"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.725429008270954,0.692858971095886,0.663602883771403,0.652891923951448,0.787456663929151,0.479708748313812,0.48310110925587,0.53113357599644,0.526267466727491,0.595727022368774,0.173393050624107,0.178467487868166,0.0748270720238768,0.331423950163688,0.35453876455073,0.331225919991665
"3",0.726037470668833,0.695044094312733,0.665079670368999,0.654999581413763,0.788994491449235,0.483401624478495,0.486666968478421,0.534331311957782,0.531448342421535,0.601253542621642,0.172911890151625,0.180439208761193,0.0764363364224271,0.33518271960833,0.353790355243632,0.334578278172125
"4",0.726599705927397,0.697189274118077,0.666489549424157,0.657032986472191,0.790550219646242,0.487093331646965,0.490237920474093,0.53754020125663,0.536661880103828,0.606842309465805,0.172407190988553,0.182368197851036,0.0780445216150697,0.338948937733669,0.35299439009467,0.337943854735212
"5",0.727114941216874,0.699293820710588,0.667831457862135,0.658990923807606,0.792124451921782,0.490783418981293,0.493813773688683,0.540760477584464,0.541908697623825,0.612495658414795,0.17188043007761,0.184253005136542,0.0796519672157262,0.342721628105743,0.352150613615561,0.341322773020676
"6",0.727582506002751,0.701357100341452,0.669104461704371,0.660872303877848,0.793717753675163,0.494471431895982,0.497394313747241,0.543992356627303,0.547189392839959,0.618215907322911,0.171330978461882,0.186091724007385,0.0812569719795739,0.346499762047085,0.351258906003843,0.344714662220113
"7",0.728001855628739,0.703378548697824,0.67030779288193,0.66267620524938,0.79533064162896,0.498156918977224,0.500979319598331,0.547236032150939,0.552504527863997,0.624005327631492,0.170758851061885,0.187882669345103,0.0828584438306651,0.35028232043933,0.35031936095864,0.348119149874834
"8",0.728372596279226,0.705357685817842,0.671440880683971,0.664401906108512,0.796963570240969,0.501839433083941,0.504568561429111,0.550491668407169,0.557854610375968,0.629866106679952,0.170164163064612,0.189624413292342,0.0844553593630763,0.354068302096792,0.349332315358726,0.351535861989148
"9",0.728694512738453,0.707294132857893,0.672503386613055,0.666048919233552,0.798616916225052,0.505518532584508,0.508161798254122,0.553759391378457,0.563240071671919,0.63580030290339,0.169547142247229,0.191315827298221,0.0860467816603387,0.357856733448114,0.348298381169643,0.354964424543754
"10",0.728967599035119,0.709187630806172,0.673495242731264,0.667617030521084,0.800290961228988,0.509193782738988,0.511758775142205,0.557039278760405,0.568661241103634,0.641809793058314,0.16890814248626,0.192956126705509,0.0876318815885067,0.361646679544573,0.347218479369348,0.358404465142722
"11",0.729192092005636,0.71103806120718,0.674416693513277,0.669106341095457,0.801985870761255,0.512864757238435,0.51535922006332,0.560331348592277,0.57411831657856,0.647896210609467,0.168247658333108,0.194544917852996,0.0892099617695901,0.365437256498448,0.346093875706065,0.361855634401258
"12",0.729373724808958,0.712849951530924,0.67526470503487,0.670518026471482,0.803703103180495,0.516566530421385,0.518983180164874,0.563630775307689,0.579600249692448,0.654064270852037,0.167500251962332,0.196036049513754,0.0906156959142612,0.36921940228301,0.344909300089697,0.365299234729192
"13",0.729508019463235,0.714618958396387,0.676044060980441,0.671852216815633,0.805441100353585,0.520262474851541,0.522609719024716,0.566942175282089,0.585118013169693,0.660311477999473,0.166731980566001,0.197477514374847,0.0920149931598238,0.373000677600331,0.343683642150775,0.368753284299834
"14",0.729596171037676,0.716345530188282,0.676756224351713,0.673110246177675,0.807199539912267,0.523952201666863,0.526238493636537,0.57026530439846,0.590671193130786,0.66663826667643,0.165943864736897,0.198870245243021,0.0934078476659457,0.376780437636668,0.34241941132025,0.372217445123308
"15",0.729639778127533,0.718030357884499,0.677403169670152,0.674293964646688,0.808977881335622,0.527635337439819,0.529869121330014,0.573599799911698,0.596259081639024,0.67304447623109,0.165137127841737,0.200215946897943,0.094794493639835,0.380558161498383,0.341119638733333,0.375691393424448
"16",0.729640888464909,0.719674405407487,0.677987437970179,0.675405794547748,0.810775334665267,0.531311527680772,0.533501180528761,0.57694516072787,0.601880624358463,0.679529236137928,0.164313211420535,0.201516964711167,0.0961754370822622,0.384333463957144,0.339787891052064,0.379174822907436
"17",0.729602044876726,0.721278940373188,0.67851219270999,0.676448787316155,0.812590827482151,0.534980439317793,0.53713420521735,0.580300727572156,0.607534363818952,0.686090838372781,0.163473789496707,0.202776334793825,0.09755148833594,0.388106116501029,0.338428306292167,0.382667448162454
"18",0.729526330945663,0.722845565228183,0.678981275036645,0.677426679874524,0.814422970647401,0.538641763273855,0.540767679150135,0.58366566219968,0.613218378823316,0.692726599159618,0.162620781577382,0.203997830794623,0.0989237950271527,0.391876069315932,0.337045626501109,0.386169008284181
"19",0.729417415109181,0.724376248020042,0.679399256850454,0.678343948958802,0.816270023503664,0.542295217096831,0.544401029905926,0.587038926018739,0.618930220846094,0.699432711614036,0.161756363795905,0.205186006731898,0.100293874792157,0.395643473829479,0.33564522599388,0.389679270647298
"20",0.729279591662532,0.725873351858836,0.679771489799359,0.679205861518591,0.818129859455458,0.545940547581088,0.548033622922354,0.590419258624216,0.624666848649023,0.706204091681641,0.160882977213539,0.206346234381351,0.101663646967869,0.3994087053117,0.334233133654393,0.393198034647122
"21",0.729117816858464,0.727339661931431,0.680104148023712,0.680018519001724,0.819999933093221,0.549577533307102,0.551664755695483,0.593805156883696,0.630424562773319,0.713034220816271,0.160003332737912,0.207484733743702,0.1030354624661,0.403172384911345,0.332816047693683,0.396725135370276
