"","year","emissions"
"219","2168",10659.4570843733
"220","2169",10659.4570843733
"221","2170",10521.8166817688
"222","2171",10521.8166817688
"223","2172",10521.8166817688
"224","2173",10521.8166817688
"225","2174",10521.8166817688
"226","2175",10521.8166817688
"227","2176",10521.8166817688
"228","2177",10521.8166817688
"229","2178",10521.8166817688
"230","2179",10521.8166817688
"231","2180",10384.1762791644
"232","2181",10384.1762791644
"233","2182",10384.1762791644
"234","2183",10384.1762791644
"235","2184",10384.1762791644
"236","2185",10384.1762791644
"237","2186",10384.1762791644
"238","2187",10384.1762791644
"239","2188",10384.1762791644
"240","2189",10384.1762791644
"241","2190",10246.5358765599
"242","2191",10246.5358765599
"243","2192",10246.5358765599
"244","2193",10246.5358765599
"245","2194",10246.5358765599
"246","2195",10246.5358765599
"247","2196",10246.5358765599
"248","2197",10246.5358765599
"249","2198",10246.5358765599
"250","2199",10246.5358765599
"251","2200",10108.8954739554
"252","2201",10108.8954739554
"253","2202",10108.8954739554
"254","2203",10108.8954739554
"255","2204",10108.8954739554
"256","2205",10108.8954739554
"257","2206",10108.8954739554
"258","2207",10108.8954739554
"259","2208",10108.8954739554
"260","2209",10108.8954739554
"261","2210",9971.25507135099
"262","2211",9971.25507135099
"263","2212",9971.25507135099
"264","2213",9971.25507135099
"265","2214",9971.25507135099
"266","2215",9971.25507135099
"267","2216",9971.25507135099
"268","2217",9971.25507135099
"269","2218",9971.25507135099
"270","2219",9971.25507135099
"271","2220",9833.61466874654
"272","2221",9833.61466874654
"273","2222",9833.61466874654
"274","2223",9833.61466874654
"275","2224",9833.61466874654
"276","2225",9833.61466874654
"277","2226",9833.61466874654
"278","2227",9833.61466874654
"279","2228",9833.61466874654
"280","2229",9833.61466874654
"281","2230",9695.97426614208
"282","2231",9695.97426614208
"283","2232",9695.97426614208
"284","2233",9695.97426614208
"285","2234",9695.97426614208
"286","2235",9695.97426614208
"287","2236",9695.97426614208
"288","2237",9695.97426614208
"289","2238",9695.97426614208
"290","2239",9695.97426614208
"291","2240",9558.33386353763
"292","2241",9558.33386353763
"293","2242",9558.33386353763
"294","2243",9558.33386353763
"295","2244",9558.33386353763
"296","2245",9558.33386353763
"297","2246",9558.33386353763
"298","2247",9558.33386353763
"299","2248",9558.33386353763
"300","2249",9558.33386353763
"301","2250",9420.69346093317
"302","2251",9420.69346093317
"303","2252",9420.69346093317
"304","2253",9420.69346093317
"305","2254",9420.69346093317
"306","2255",9420.69346093317
"307","2256",9420.69346093317
"308","2257",9420.69346093317
"309","2258",9420.69346093317
"310","2259",9420.69346093317
"311","2260",9420.69346093317
"312","2261",9420.69346093317
"313","2262",9420.69346093317
"314","2263",9420.69346093317
"315","2264",9420.69346093317
"316","2265",9420.69346093317
"317","2266",9420.69346093317
"318","2267",9420.69346093317
"319","2268",9420.69346093317
"320","2269",9420.69346093317
"321","2270",9420.69346093317
"322","2271",9420.69346093317
"323","2272",9420.69346093317
"324","2273",9420.69346093317
"325","2274",9420.69346093317
"326","2275",9420.69346093317
"327","2276",9420.69346093317
"328","2277",9420.69346093317
"329","2278",9420.69346093317
"330","2279",9420.69346093317
"331","2280",9420.69346093317
"332","2281",9420.69346093317
"333","2282",9420.69346093317
"334","2283",9420.69346093317
"335","2284",9420.69346093317
"336","2285",9420.69346093317
"337","2286",9420.69346093317
"338","2287",9420.69346093317
"339","2288",9420.69346093317
"340","2289",9420.69346093317
"341","2290",9420.69346093317
"342","2291",9420.69346093317
"343","2292",9420.69346093317
"344","2293",9420.69346093317
"345","2294",9420.69346093317
"346","2295",9420.69346093317
"347","2296",9420.69346093317
"348","2297",9420.69346093317
"349","2298",9420.69346093317
"350","2299",9420.69346093317
"351","2300",9420.69346093317
"352","2301",9420.69346093317
"353","2302",9420.69346093317
"354","2303",9420.69346093317
"355","2304",9420.69346093317
"356","2305",9420.69346093317
"357","2306",9420.69346093317
"358","2307",9420.69346093317
"359","2308",9420.69346093317
"360","2309",9420.69346093317
"361","2310",9420.69346093317
"362","2311",9420.69346093317
"363","2312",9420.69346093317
"364","2313",9420.69346093317
"365","2314",9420.69346093317
"366","2315",9420.69346093317
"367","2316",9420.69346093317
"368","2317",9420.69346093317
"369","2318",9420.69346093317
"370","2319",9420.69346093317
"371","2320",9420.69346093317
"372","2321",9420.69346093317
"373","2322",9420.69346093317
"374","2323",9420.69346093317
"375","2324",9420.69346093317
"376","2325",9420.69346093317
"377","2326",9420.69346093317
"378","2327",9420.69346093317
"379","2328",9420.69346093317
"380","2329",9420.69346093317
"381","2330",9420.69346093317
"382","2331",9420.69346093317
"383","2332",9420.69346093317
"384","2333",9420.69346093317
"385","2334",9420.69346093317
"386","2335",9420.69346093317
"387","2336",9420.69346093317
"388","2337",9420.69346093317
"389","2338",9420.69346093317
"390","2339",9420.69346093317
"391","2340",9420.69346093317
"392","2341",9420.69346093317
"393","2342",9420.69346093317
"394","2343",9420.69346093317
"395","2344",9420.69346093317
"396","2345",9420.69346093317
"397","2346",9420.69346093317
"398","2347",9420.69346093317
"399","2348",9420.69346093317
"400","2349",9420.69346093317
"401","2350",9420.69346093317
"402","2351",9420.69346093317
"403","2352",9420.69346093317
"404","2353",9420.69346093317
"405","2354",9420.69346093317
"406","2355",9420.69346093317
"407","2356",9420.69346093317
"408","2357",9420.69346093317
"409","2358",9420.69346093317
"410","2359",9420.69346093317
"411","2360",9420.69346093317
"412","2361",9420.69346093317
"413","2362",9420.69346093317
"414","2363",9420.69346093317
"415","2364",9420.69346093317
"416","2365",9420.69346093317
"417","2366",9420.69346093317
"418","2367",9420.69346093317
"419","2368",9420.69346093317
"420","2369",9420.69346093317
"421","2370",9420.69346093317
"422","2371",9420.69346093317
"423","2372",9420.69346093317
"424","2373",9420.69346093317
"425","2374",9420.69346093317
"426","2375",9420.69346093317
"427","2376",9420.69346093317
"428","2377",9420.69346093317
"429","2378",9420.69346093317
"430","2379",9420.69346093317
"431","2380",9420.69346093317
"432","2381",9420.69346093317
"433","2382",9420.69346093317
"434","2383",9420.69346093317
"435","2384",9420.69346093317
"436","2385",9420.69346093317
"437","2386",9420.69346093317
"438","2387",9420.69346093317
"439","2388",9420.69346093317
"440","2389",9420.69346093317
"441","2390",9420.69346093317
"442","2391",9420.69346093317
"443","2392",9420.69346093317
"444","2393",9420.69346093317
"445","2394",9420.69346093317
"446","2395",9420.69346093317
"447","2396",9420.69346093317
"448","2397",9420.69346093317
"449","2398",9420.69346093317
"450","2399",9420.69346093317
"451","2400",9420.69346093317
"452","2401",9420.69346093317
"453","2402",9420.69346093317
"454","2403",9420.69346093317
"455","2404",9420.69346093317
"456","2405",9420.69346093317
"457","2406",9420.69346093317
"458","2407",9420.69346093317
"459","2408",9420.69346093317
"460","2409",9420.69346093317
"461","2410",9420.69346093317
"462","2411",9420.69346093317
"463","2412",9420.69346093317
"464","2413",9420.69346093317
"465","2414",9420.69346093317
"466","2415",9420.69346093317
"467","2416",9420.69346093317
"468","2417",9420.69346093317
"469","2418",9420.69346093317
"470","2419",9420.69346093317
"471","2420",9420.69346093317
"472","2421",9420.69346093317
"473","2422",9420.69346093317
"474","2423",9420.69346093317
"475","2424",9420.69346093317
"476","2425",9420.69346093317
"477","2426",9420.69346093317
"478","2427",9420.69346093317
"479","2428",9420.69346093317
"480","2429",9420.69346093317
"481","2430",9420.69346093317
"482","2431",9420.69346093317
"483","2432",9420.69346093317
"484","2433",9420.69346093317
"485","2434",9420.69346093317
"486","2435",9420.69346093317
"487","2436",9420.69346093317
"488","2437",9420.69346093317
"489","2438",9420.69346093317
"490","2439",9420.69346093317
"491","2440",9420.69346093317
"492","2441",9420.69346093317
"493","2442",9420.69346093317
"494","2443",9420.69346093317
"495","2444",9420.69346093317
"496","2445",9420.69346093317
"497","2446",9420.69346093317
"498","2447",9420.69346093317
"499","2448",9420.69346093317
"500","2449",9420.69346093317
"501","2450",9420.69346093317
"502","2451",9420.69346093317
"503","2452",9420.69346093317
"504","2453",9420.69346093317
"505","2454",9420.69346093317
"506","2455",9420.69346093317
"507","2456",9420.69346093317
"508","2457",9420.69346093317
"509","2458",9420.69346093317
"510","2459",9420.69346093317
"511","2460",9420.69346093317
"512","2461",9420.69346093317
