"","year","emissions"
"1","1950",4378.498714666
"2","1951",4447.580050173
"3","1952",4514.631057479
"4","1953",4585.338771385
"5","1954",4658.918555989
"6","1955",4738.573835594
"7","1956",4819.784587299
"8","1957",4906.311841004
"9","1958",5002.815188009
"10","1959",5106.721646316
"11","1960",5222.367036224
"12","1961",5570.292268934
"13","1962",5779.894617848
"14","1963",5976.276517865
"15","1964",6199.344235184
"16","1965",6465.560236103
"17","1966",6773.507547123
"18","1967",7041.513557943
"19","1968",7256.009223461
"20","1969",7435.615435577
"21","1970",7406.667102286
"22","1971",7327.060018164
"23","1972",7746.900966143
"24","1973",7935.570129016
"25","1974",7909.792366794
"26","1975",8180.647431373
"27","1976",8409.325612562
"28","1977",8640.444044551
"29","1978",8837.869319451
"30","1979",9123.75591774
"31","1980",9227.25850344
"32","1981",9121.12526974
"33","1982",9494.515702535
"34","1983",9530.292752735
"35","1984",9421.164119735
"36","1985",9421.444216635
"37","1986",9620.413269135
"38","1987",9977.11727844
"39","1988",9722.719931646
"40","1989",9842.472009051
"41","1990",9862.303868651
"42","1991",9968.816852048
"43","1992",9990.075746651
"44","1993",9915.093855454
"45","1994",10121.031398151
"46","1995",10218.833691848
"47","1996",10278.763319346
"48","1997",10590.220331843
"49","1998",10128.407161145
"50","1999",9868.586122143
"51","2000",9603.18708684
"52","2001",9722.24731213
"53","2002",9991.772281121
"54","2003",10099.786880807
"55","2004",10354.570880397
"56","2005",10516.570551088
"57","2006",10802.561733786
"58","2007",10363.481326285
"59","2008",10429.681447884
"60","2009",10546.741937483
"61","2010",10539.817000082
"62","2011",10446.428334966
"63","2012",10593.89772836
"64","2013",10759.046875754
"65","2014",10866.283520049
"66","2015",10900
"67","2016",10900
"68","2017",10900
"69","2018",10900
"70","2019",10900
"71","2020",10706.3848251701
"72","2021",10706.3848251701
"73","2022",10706.3848251701
"74","2023",10706.3848251701
"75","2024",10706.3848251701
"76","2025",10706.3848251701
"77","2026",10706.3848251701
"78","2027",10706.3848251701
"79","2028",10706.3848251701
"80","2029",10706.3848251701
"81","2030",8393.75909093475
"82","2031",8393.75909093475
"83","2032",8393.75909093475
"84","2033",8393.75909093475
"85","2034",8393.75909093475
"86","2035",8393.75909093475
"87","2036",8393.75909093475
"88","2037",8393.75909093475
"89","2038",8393.75909093475
"90","2039",8393.75909093475
"91","2040",8376.57366407662
"92","2041",8376.57366407662
"93","2042",8376.57366407662
"94","2043",8376.57366407662
"95","2044",8376.57366407662
"96","2045",8376.57366407662
"97","2046",8376.57366407662
"98","2047",8376.57366407662
"99","2048",8376.57366407662
"100","2049",8376.57366407662
"101","2050",8073.58519737887
"102","2051",8073.58519737887
"103","2052",8073.58519737887
"104","2053",8073.58519737887
"105","2054",8073.58519737887
"106","2055",8073.58519737887
"107","2056",8073.58519737887
"108","2057",8073.58519737887
"109","2058",8073.58519737887
"110","2059",8073.58519737887
"111","2060",7941.61176480449
"112","2061",7941.61176480449
"113","2062",7941.61176480449
"114","2063",7941.61176480449
"115","2064",7941.61176480449
"116","2065",7941.61176480449
"117","2066",7941.61176480449
"118","2067",7941.61176480449
"119","2068",7941.61176480449
"120","2069",7941.61176480449
"121","2070",7958.15173403822
"122","2071",7958.15173403822
"123","2072",7958.15173403822
"124","2073",7958.15173403822
"125","2074",7958.15173403822
"126","2075",7958.15173403822
"127","2076",7958.15173403822
"128","2077",7958.15173403822
"129","2078",7958.15173403822
"130","2079",7958.15173403822
"131","2080",7978.92396545785
"132","2081",7978.92396545785
"133","2082",7978.92396545785
"134","2083",7978.92396545785
"135","2084",7978.92396545785
"136","2085",7978.92396545785
"137","2086",7978.92396545785
"138","2087",7978.92396545785
"139","2088",7978.92396545785
"140","2089",7978.92396545785
"141","2090",8204.73625613288
"142","2091",8204.73625613288
"143","2092",8204.73625613288
"144","2093",8204.73625613288
"145","2094",8204.73625613288
"146","2095",8204.73625613288
"147","2096",8204.73625613288
"148","2097",8204.73625613288
"149","2098",8204.73625613288
"150","2099",8204.73625613288
"151","2100",8339.07191457839
"152","2101",8339.07191457839
"153","2102",8339.07191457839
"154","2103",8339.07191457839
"155","2104",8339.07191457839
"156","2105",8339.07191457839
"157","2106",8339.07191457839
"158","2107",8339.07191457839
"159","2108",8339.07191457839
"160","2109",8339.07191457839
"161","2110",8239.13606043109
"162","2111",8239.13606043109
"163","2112",8239.13606043109
"164","2113",8239.13606043109
"165","2114",8239.13606043109
"166","2115",8239.13606043109
"167","2116",8239.13606043109
"168","2117",8239.13606043109
"169","2118",8239.13606043109
"170","2119",8239.13606043109
"171","2120",8139.20020628379
"172","2121",8139.20020628379
"173","2122",8139.20020628379
"174","2123",8139.20020628379
"175","2124",8139.20020628379
"176","2125",8139.20020628379
"177","2126",8139.20020628379
"178","2127",8139.20020628379
"179","2128",8139.20020628379
"180","2129",8139.20020628379
"181","2130",8039.26435213649
"182","2131",8039.26435213649
"183","2132",8039.26435213649
"184","2133",8039.26435213649
"185","2134",8039.26435213649
"186","2135",8039.26435213649
"187","2136",8039.26435213649
"188","2137",8039.26435213649
"189","2138",8039.26435213649
"190","2139",8039.26435213649
"191","2140",7939.32849798919
"192","2141",7939.32849798919
"193","2142",7939.32849798919
"194","2143",7939.32849798919
"195","2144",7939.32849798919
"196","2145",7939.32849798919
"197","2146",7939.32849798919
"198","2147",7939.32849798919
"199","2148",7939.32849798919
"200","2149",7939.32849798919
"201","2150",7839.39264384188
"202","2151",7839.39264384188
"203","2152",7839.39264384188
"204","2153",7839.39264384188
"205","2154",7839.39264384188
"206","2155",7839.39264384188
"207","2156",7839.39264384188
"208","2157",7839.39264384188
"209","2158",7839.39264384188
"210","2159",7839.39264384188
"211","2160",7739.45678969458
